Region,State,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
,Kentucky,Marion,2.918,0.498,0.109,0.239,0.511,0.407
,Kentucky,Marshall,0.646,0.408,0.369,0.278,0.502,0.349
,Kentucky,Martin,-1.292,0.454,0.168,0.238,0.063,0.31
,Kentucky,Mason,1.31,0.557,0.151,0.243,0.451,0.334
,Kentucky,McCracken,0.586,0.51,0.615,0.29,0.517,0.373
,Kentucky,McCreary,0.281,0.408,0.161,0.213,0.165,0.496
,Kentucky,McLean,0.815,0.586,0.171,0.19,0.407,0.379
,Kentucky,Meade,2.209,0.572,0.114,0.301,0.343,0.393
,Kentucky,Menifee,1.07,0.469,0.204,0.261,0.386,0.412
,Kentucky,Mercer,1.564,0.575,0.18,0.281,0.465,0.337
,Kentucky,Metcalfe,-1.225,0.468,0.067,0.143,0.266,0.375
,Kentucky,Monroe,-0.629,0.379,0.16,0.147,0.244,0.35
,Kentucky,Montgomery,1.465,0.608,0.194,0.278,0.393,0.388
,Kentucky,Morgan,0.3,0.592,0.339,0.253,0.381,0.304
,Kentucky,Muhlenberg,2.933,0.541,0.129,0.293,0.508,0.374
,Kentucky,Nelson,3.634,0.574,0.162,0.346,0.566,0.404
,Kentucky,Nicholas,0.412,0.442,0.106,0.152,0.39,0.378
,Kentucky,Ohio,3.126,0.633,0.137,0.299,0.486,0.376
,Kentucky,Oldham,1.095,0.663,0.41,0.288,0.538,0.346
,Kentucky,Owen,1.738,0.426,0.096,0.27,0.41,0.352
,Kentucky,Owsley,-0.088,0.591,0.227,0.202,0.254,0.377
,Kentucky,Pendleton,3.494,0.649,0.119,0.253,0.52,0.384
,Kentucky,Perry,0.217,0.433,0.195,0.306,0.279,0.299
,Kentucky,Pike,1.982,0.525,0.151,0.478,0.32,0.271
,Kentucky,Powell,0.553,0.352,0.2,0.272,0.298,0.408
,Kentucky,Pulaski,0.721,0.292,0.329,0.307,0.427,0.469
,Kentucky,Robertson,-1.436,0.716,0.128,0.184,0.195,0.353
,Kentucky,Rockcastle,1.17,0.473,0.2,0.306,0.386,0.375
,Kentucky,Rowan,1.992,0.612,0.225,0.321,0.444,0.408
,Kentucky,Russell,1.489,0.386,0.147,0.192,0.478,0.454
,Kentucky,Scott,1.808,0.625,0.252,0.338,0.453,0.382
,Kentucky,Shelby,3.048,0.636,0.215,0.376,0.519,0.411
,Kentucky,Simpson,1.187,0.463,0.145,0.24,0.386,0.396
,Kentucky,Spencer,4.87,0.593,0.087,0.278,0.568,0.349
,Kentucky,Taylor,1.796,0.414,0.151,0.215,0.469,0.472
,Kentucky,Todd,1.655,0.561,0.125,0.23,0.34,0.443
,Kentucky,Trigg,3.384,0.508,0.134,0.23,0.452,0.564
,Kentucky,Trimble,-0.223,0.701,0.148,0.126,0.395,0.342
,Kentucky,Union,2.354,0.604,0.138,0.258,0.421,0.416
,Kentucky,Warren,0.864,0.321,0.297,0.408,0.466,0.324
,Kentucky,Washington,3.732,0.666,0.12,0.23,0.605,0.354
,Kentucky,Wayne,0.077,0.501,0.121,0.188,0.332,0.352
,Kentucky,Webster,1.118,0.626,0.282,0.235,0.475,0.383
,Kentucky,Whitley,0.625,0.423,0.21,0.236,0.374,0.384
,Kentucky,Wolfe,-0.919,0.46,0.189,0.159,0.13,0.384
,Kentucky,Woodford,2.647,0.616,0.195,0.303,0.471,0.45
,Mississippi,Mississippi,1.434,0.494,0.273,0.337,0.382,0.444
,Mississippi,Adams,2.886,0.636,0.19,0.3,0.467,0.467
,Mississippi,Alcorn,1.459,0.347,0.122,0.317,0.44,0.327
,Mississippi,Amite,1.966,0.516,0.204,0.358,0.364,0.449
,Mississippi,Attala,0.973,0.507,0.229,0.299,0.353,0.386
,Mississippi,Benton,0.072,0.602,0.332,0.233,0.164,0.445
,Mississippi,Bolivar,2.416,0.587,0.249,0.445,0.365,0.456
,Mississippi,Calhoun,1.578,0.512,0.114,0.326,0.301,0.363
,Mississippi,Carroll,0.701,0.639,0.268,0.298,0.304,0.367
,Mississippi,Chickasaw,2.654,0.529,0.176,0.339,0.347,0.528
,Mississippi,Choctaw,0.858,0.481,0.31,0.282,0.392,0.418
,Mississippi,Claiborne,0.467,0.37,0.281,0.228,0.386,0.403
,Mississippi,Clarke,1.112,0.398,0.251,0.347,0.384,0.415
,Mississippi,Clay,1.147,0.39,0.244,0.341,0.306,0.49
,Mississippi,Coahoma,2.234,0.62,0.204,0.346,0.345,0.463
,Mississippi,Copiah,1.391,0.36,0.191,0.355,0.399,0.41
,Mississippi,Covington,1.342,0.472,0.28,0.334,0.441,0.423
,Mississippi,DeSoto,1.006,0.596,0.638,0.433,0.449,0.423
,Mississippi,Forrest,0.881,0.418,0.586,0.394,0.465,0.516
,Mississippi,Franklin,0.804,0.461,0.26,0.219,0.377,0.459
,Mississippi,George,2.366,0.378,0.178,0.328,0.473,0.533
,Mississippi,Greene,1.208,0.377,0.208,0.324,0.317,0.481
,Mississippi,Grenada,1.178,0.488,0.212,0.296,0.376,0.4
,Mississippi,Hancock,0.95,0.444,0.429,0.43,0.336,0.451
,Mississippi,Harrison,0.73,0.464,0.754,0.462,0.428,0.453
,Mississippi,Hinds,2.115,0.561,0.392,0.554,0.519,0.4
,Mississippi,Holmes,1.275,0.505,0.214,0.327,0.293,0.444
,Mississippi,Humphreys,0.919,0.591,0.281,0.229,0.242,0.55
,Mississippi,Issaquena,-0.069,0.577,0.419,0.232,0.103,0.459
,Mississippi,Itawamba,1.361,0.468,0.141,0.262,0.37,0.4
,Mississippi,Jackson,1.429,0.406,0.427,0.473,0.391,0.599
,Mississippi,Jasper,1.555,0.476,0.262,0.365,0.343,0.493
,Mississippi,Jefferson,0.267,0.52,0.298,0.248,0.248,0.409
,Mississippi,Jefferson Davis,0.739,0.432,0.241,0.286,0.292,0.438
,Mississippi,Jones,1.861,0.447,0.26,0.415,0.435,0.455
,Mississippi,Kemper,1.062,0.528,0.31,0.382,0.313,0.403
,Mississippi,Lafayette,2.235,0.404,0.22,0.448,0.429,0.479
,Mississippi,Lamar,0.951,0.414,0.513,0.424,0.442,0.48
,Mississippi,Lauderdale,2.096,0.517,0.293,0.46,0.482,0.414
,Mississippi,Lawrence,1.287,0.568,0.32,0.315,0.427,0.426
,Mississippi,Leake,1.388,0.564,0.239,0.302,0.402,0.405
,Mississippi,Lee,1.074,0.569,0.521,0.401,0.489,0.388
,Mississippi,Leflore,2.371,0.611,0.185,0.329,0.38,0.445
,Mississippi,Lincoln,1.768,0.366,0.197,0.383,0.511,0.378
,Mississippi,Lowndes,1.352,0.413,0.391,0.398,0.497,0.505
,Mississippi,Madison,1.703,0.56,0.478,0.51,0.539,0.42
,Mississippi,Marion,1.734,0.519,0.271,0.364,0.428,0.445
,Mississippi,Marshall,2.285,0.59,0.186,0.386,0.369,0.394
,Mississippi,Monroe,3.523,0.488,0.157,0.415,0.429,0.483
,Mississippi,Montgomery,1.246,0.598,0.225,0.235,0.521,0.333
,Mississippi,Neshoba,1.137,0.448,0.283,0.363,0.366,0.419
,Mississippi,Newton,1.506,0.446,0.263,0.306,0.475,0.463
,Mississippi,Noxubee,0.966,0.491,0.263,0.251,0.331,0.488
,Mississippi,Oktibbeha,1.753,0.497,0.264,0.42,0.363,0.447
,Mississippi,Panola,2.253,0.539,0.191,0.371,0.396,0.419
,Mississippi,Pearl River,1.01,0.354,0.384,0.427,0.405,0.472
,Mississippi,Perry,2.028,0.404,0.211,0.318,0.307,0.655
,Mississippi,Pike,1.936,0.495,0.237,0.346,0.471,0.439
,Mississippi,Pontotoc,1.35,0.476,0.234,0.315,0.445,0.387
,Mississippi,Prentiss,1.402,0.473,0.142,0.292,0.419,0.333
,Mississippi,Quitman,0.588,0.608,0.193,0.18,0.272,0.476
,Mississippi,Rankin,1.234,0.522,0.652,0.566,0.544,0.393
,Mississippi,Scott,1.773,0.466,0.336,0.385,0.421,0.58
,Mississippi,Sharkey,-0.138,0.489,0.301,0.09,0.138,0.572
,Mississippi,Simpson,1.512,0.416,0.227,0.311,0.53,0.388
,Mississippi,Smith,1.358,0.442,0.262,0.331,0.398,0.464
,Mississippi,Stone,0.767,0.135,0.208,0.361,0.425,0.563
,Mississippi,Sunflower,2.889,0.637,0.164,0.357,0.339,0.458
,Mississippi,Tallahatchie,1.523,0.494,0.118,0.256,0.318,0.43
,Mississippi,Tate,2.016,0.622,0.172,0.284,0.401,0.411
,Mississippi,Tippah,1.268,0.497,0.144,0.327,0.348,0.33
,Mississippi,Tishomingo,1.699,0.371,0.125,0.278,0.342,0.471
,Mississippi,Tunica,0.461,0.762,0.386,0.243,0.209,0.478
,Mississippi,Union,1.706,0.492,0.165,0.338,0.424,0.342
,Mississippi,Walthall,1.957,0.623,0.206,0.291,0.405,0.438
,Mississippi,Warren,1.837,0.633,0.335,0.36,0.468,0.444
,Mississippi,Washington,2.148,0.599,0.209,0.324,0.4,0.447
,Mississippi,Wayne,0.728,0.272,0.196,0.312,0.304,0.445
,Mississippi,Webster,0.468,0.54,0.261,0.271,0.316,0.36
,Mississippi,Wilkinson,1.32,0.447,0.21,0.309,0.397,0.413
,Mississippi,Winston,1.137,0.549,0.384,0.313,0.435,0.449
,Mississippi,Yalobusha,2.471,0.443,0.095,0.26,0.36,0.46
,Mississippi,Yazoo,1.619,0.578,0.241,0.333,0.296,0.49
,North Carolina,North Carolina,2.141,0.435,0.273,0.419,0.463,0.431
,North Carolina,Alamance,1.273,0.525,0.376,0.435,0.471,0.336
,North Carolina,Alexander,1.467,0.448,0.2,0.335,0.466,0.345
,North Carolina,Alleghany,0.907,0.201,0.123,0.341,0.384,0.362
,North Carolina,Anson,2.841,0.483,0.109,0.356,0.385,0.381
,North Carolina,Ashe,1.514,0.221,0.12,0.378,0.48,0.354
,North Carolina,Avery,1.523,0.251,0.174,0.393,0.481,0.434
,North Carolina,Beaufort,2.216,0.56,0.381,0.459,0.513,0.519
,North Carolina,Bertie,4.796,0.56,0.156,0.382,0.545,0.508
,North Carolina,Bladen,3.478,0.386,0.132,0.482,0.367,0.481
,North Carolina,Brunswick,2.343,0.522,0.356,0.589,0.418,0.491
,North Carolina,Buncombe,0.269,0.11,0.506,0.502,0.551,0.332
,North Carolina,Burke,1.031,0.289,0.286,0.444,0.383,0.441
,North Carolina,Cabarrus,0.704,0.604,0.649,0.363,0.508,0.322
,North Carolina,Caldwell,1.284,0.427,0.284,0.355,0.466,0.405
,North Carolina,Camden,2.638,0.533,0.226,0.335,0.437,0.556
,North Carolina,Carteret,3.317,0.555,0.307,0.44,0.481,0.697
,North Carolina,Caswell,2.756,0.526,0.127,0.38,0.347,0.394
,North Carolina,Catawba,1.204,0.471,0.506,0.519,0.509,0.37
,North Carolina,Chatham,2.844,0.466,0.226,0.535,0.498,0.396
,North Carolina,Cherokee,0.338,0.066,0.227,0.367,0.54,0.456
,North Carolina,Chowan,3.88,0.5,0.143,0.287,0.463,0.582
,North Carolina,Clay,0.731,0.1,0.169,0.325,0.556,0.522
,North Carolina,Cleveland,1.562,0.447,0.291,0.429,0.491,0.369
,North Carolina,Columbus,5.948,0.436,0.124,0.546,0.529,0.488
,North Carolina,Craven,2.412,0.532,0.383,0.512,0.436,0.616
,North Carolina,Cumberland,0.915,0.494,0.585,0.471,0.443,0.389
,North Carolina,Currituck,3.74,0.54,0.201,0.397,0.421,0.614
,North Carolina,Dare,2.975,0.552,0.389,0.444,0.553,0.742
,North Carolina,Davidson,1.85,0.568,0.317,0.457,0.466,0.366
,North Carolina,Davie,2.659,0.533,0.191,0.387,0.536,0.353
,North Carolina,Duplin,4.644,0.491,0.105,0.52,0.339,0.383
,North Carolina,Durham,0.49,0.386,0.585,0.394,0.451,0.328
,North Carolina,Edgecombe,2.948,0.488,0.15,0.375,0.425,0.438
,North Carolina,Forsyth,0.512,0.501,0.553,0.396,0.456,0.25
,North Carolina,Franklin,2.728,0.444,0.21,0.493,0.443,0.448
,North Carolina,Gaston,0.856,0.537,0.686,0.534,0.455,0.316
,North Carolina,Gates,4.175,0.486,0.129,0.318,0.486,0.532
,North Carolina,Graham,0.933,0.171,0.179,0.328,0.426,0.513
,North Carolina,Granville,2.302,0.494,0.217,0.416,0.443,0.421
,North Carolina,Greene,1.669,0.496,0.222,0.332,0.402,0.435
,North Carolina,Guilford,1.179,0.569,0.57,0.514,0.47,0.36
,North Carolina,Halifax,4.425,0.5,0.129,0.483,0.396,0.439
,North Carolina,Harnett,2.033,0.501,0.254,0.443,0.418,0.418
,North Carolina,Haywood,0.919,0.136,0.202,0.44,0.559,0.446
,North Carolina,Henderson,0.363,0.206,0.474,0.403,0.52,0.301
,North Carolina,Hertford,3.014,0.524,0.153,0.361,0.443,0.426
,North Carolina,Hoke,1.588,0.385,0.201,0.37,0.389,0.44
,North Carolina,Hyde,1.57,0.435,0.441,0.305,0.587,0.662
,North Carolina,Iredell,1.029,0.577,0.582,0.471,0.5,0.325
,North Carolina,Jackson,1.324,0.25,0.238,0.457,0.52,0.414
,North Carolina,Johnston,2.011,0.543,0.406,0.573,0.491,0.412
,North Carolina,Jones,3.183,0.547,0.191,0.341,0.365,0.605
,North Carolina,Lee,0.777,0.439,0.432,0.365,0.476,0.349
,North Carolina,Lenoir,3.006,0.595,0.184,0.363,0.465,0.427
,North Carolina,Lincoln,0.934,0.47,0.463,0.374,0.47,0.406
,North Carolina,Macon,0.973,0.213,0.309,0.407,0.591,0.472
,North Carolina,Madison,0.909,0.187,0.189,0.405,0.523,0.33
,North Carolina,Martin,4.457,0.514,0.154,0.434,0.478,0.504
,North Carolina,McDowell,0.606,0.21,0.262,0.358,0.36,0.445
,North Carolina,Mecklenburg,0.973,0.557,0.693,0.661,0.449,0.231
,North Carolina,Mitchell,1.083,0.208,0.148,0.306,0.522,0.378
,North Carolina,Montgomery,2.574,0.461,0.134,0.42,0.355,0.379
,North Carolina,Moore,2.263,0.423,0.199,0.501,0.483,0.318
,North Carolina,Nash,2.618,0.436,0.222,0.501,0.474,0.433
,North Carolina,New Hanover,1.185,0.498,0.588,0.389,0.531,0.537
,North Carolina,Northampton,5.823,0.606,0.117,0.488,0.389,0.43
,North Carolina,Onslow,1.921,0.575,0.39,0.459,0.364,0.555
,North Carolina,Orange,2.116,0.42,0.184,0.365,0.442,0.442
,North Carolina,Pamlico,2.457,0.525,0.29,0.308,0.502,0.631
,North Carolina,Pasquotank,1.874,0.539,0.289,0.309,0.448,0.529
,North Carolina,Pender,6.66,0.579,0.126,0.471,0.494,0.499
,North Carolina,Perquimans,3.208,0.48,0.156,0.315,0.388,0.586
,North Carolina,Person,2.918,0.421,0.132,0.36,0.514,0.385
,North Carolina,Pitt,2.16,0.555,0.362,0.514,0.496,0.433
,North Carolina,Polk,1.653,0.407,0.191,0.37,0.556,0.284
,North Carolina,Randolph,3.492,0.52,0.187,0.539,0.435,0.391
,North Carolina,Richmond,1.319,0.362,0.195,0.419,0.354,0.366
,North Carolina,Robeson,3.475,0.426,0.176,0.561,0.429,0.445
,North Carolina,Rockingham,2.225,0.501,0.224,0.448,0.438,0.383
,North Carolina,Rowan,1.515,0.535,0.326,0.436,0.457,0.351
,North Carolina,Rutherford,1.29,0.224,0.195,0.493,0.453,0.376
,North Carolina,Sampson,4.78,0.544,0.126,0.489,0.417,0.401
,North Carolina,Scotland,2.232,0.472,0.172,0.398,0.386,0.405
,North Carolina,Stanly,2.067,0.472,0.204,0.38,0.545,0.329
,North Carolina,Stokes,2.577,0.484,0.148,0.415,0.485,0.296
,North Carolina,Surry,1.623,0.459,0.217,0.399,0.447,0.335
,North Carolina,Swain,0.078,0.01,0.195,0.417,0.544,0.542
,North Carolina,Transylvania,1.953,0.329,0.221,0.397,0.609,0.431
,North Carolina,Tyrrell,1.435,0.674,0.565,0.247,0.417,0.701
,North Carolina,Union,1.515,0.581,0.445,0.484,0.518,0.347
,North Carolina,Vance,3.069,0.497,0.141,0.336,0.49,0.411
,North Carolina,Wake,1.128,0.457,0.714,0.736,0.509,0.326
,North Carolina,Warren,2.776,0.455,0.136,0.407,0.347,0.432
,North Carolina,Washington,1.551,0.454,0.288,0.268,0.399,0.604
,North Carolina,Watauga,1.142,0.243,0.165,0.385,0.45,0.353
,North Carolina,Wayne,2.309,0.45,0.206,0.473,0.432,0.385
,North Carolina,Wilkes,1.767,0.415,0.15,0.379,0.401,0.341
,North Carolina,Wilson,1.636,0.471,0.308,0.38,0.484,0.451
,North Carolina,Yadkin,4.462,0.548,0.112,0.404,0.469,0.37
,North Carolina,Yancey,0.265,0.063,0.159,0.281,0.499,0.38
,South Carolina,South Carolina,1.969,0.462,0.279,0.393,0.437,0.42
,South Carolina,Abbeville,1.504,0.292,0.153,0.335,0.464,0.4
,South Carolina,Aiken,1.764,0.498,0.371,0.509,0.491,0.403
,South Carolina,Allendale,-0.074,0.505,0.192,0.182,0.268,0.39
,South Carolina,Anderson,1.431,0.539,0.536,0.506,0.506,0.441
,South Carolina,Bamberg,1.312,0.505,0.115,0.275,0.333,0.37
,South Carolina,Barnwell,2.14,0.44,0.153,0.278,0.412,0.487
,South Carolina,Beaufort,1.34,0.484,0.432,0.372,0.493,0.502
,South Carolina,Berkeley,2.543,0.577,0.445,0.565,0.428,0.656
,South Carolina,Calhoun,3.102,0.558,0.142,0.338,0.511,0.361
,South Carolina,Charleston,1.98,0.587,0.586,0.553,0.508,0.611
,South Carolina,Cherokee,0.509,0.444,0.295,0.376,0.355,0.26
,South Carolina,Chester,1.697,0.521,0.166,0.365,0.37,0.342
,South Carolina,Chesterfield,1.681,0.41,0.148,0.373,0.343,0.383
,South Carolina,Clarendon,3.264,0.494,0.142,0.401,0.38,0.457
,South Carolina,Colleton,4.613,0.537,0.15,0.419,0.496,0.488
,South Carolina,Darlington,2.134,0.427,0.172,0.402,0.409,0.4
,South Carolina,Dillon,2.725,0.483,0.098,0.341,0.338,0.399
,South Carolina,Dorchester,1.67,0.611,0.458,0.409,0.489,0.489
,South Carolina,Edgefield,2.193,0.472,0.157,0.282,0.371,0.51
,South Carolina,Fairfield,4.046,0.551,0.109,0.376,0.469,0.357
,South Carolina,Florence,1.593,0.381,0.323,0.466,0.501,0.456
,South Carolina,Georgetown,3.306,0.384,0.157,0.458,0.432,0.524
,South Carolina,Greenville,0.805,0.48,0.785,0.575,0.513,0.315
,South Carolina,Greenwood,1.426,0.42,0.226,0.325,0.504,0.37
,South Carolina,Hampton,2.371,0.412,0.105,0.287,0.411,0.42
,South Carolina,Horry,1.611,0.444,0.409,0.531,0.433,0.495
,South Carolina,Jasper,2.45,0.403,0.159,0.331,0.526,0.427
,South Carolina,Kershaw,1.844,0.371,0.207,0.434,0.526,0.341
,South Carolina,Lancaster,1.349,0.55,0.271,0.361,0.436,0.344
,South Carolina,Laurens,1.426,0.43,0.2,0.398,0.398,0.333
,South Carolina,Lee,1.241,0.298,0.105,0.298,0.322,0.412
,South Carolina,Lexington,1.117,0.563,0.615,0.476,0.561,0.346
,South Carolina,Marion,3.977,0.369,0.097,0.354,0.444,0.498
,South Carolina,Marlboro,1.577,0.402,0.102,0.296,0.295,0.419
,South Carolina,McCormick,2.143,0.47,0.169,0.278,0.343,0.551
,South Carolina,Newberry,2.943,0.494,0.172,0.326,0.549,0.437
,South Carolina,Oconee,0.867,0.283,0.36,0.411,0.459,0.449
,South Carolina,Orangeburg,4.303,0.523,0.152,0.511,0.456,0.404
,South Carolina,Pickens,1.055,0.427,0.42,0.427,0.491,0.38
,South Carolina,Richland,0.811,0.455,0.694,0.502,0.515,0.36
,South Carolina,Saluda,1.881,0.414,0.107,0.286,0.329,0.439
,South Carolina,Spartanburg,0.697,0.482,0.747,0.521,0.483,0.302
,South Carolina,Sumter,1.516,0.454,0.287,0.374,0.486,0.409
,South Carolina,Union,1.576,0.409,0.14,0.363,0.353,0.358
,South Carolina,Williamsburg,4.397,0.399,0.103,0.365,0.459,0.512
,South Carolina,York,0.699,0.586,0.698,0.451,0.457,0.299
,Tennessee,Tennessee,0.888,0.37,0.26,0.305,0.409,0.37
,Tennessee,Anderson,0.307,0.259,0.392,0.308,0.437,0.319
,Tennessee,Bedford,0.657,0.312,0.228,0.358,0.422,0.283
,Tennessee,Benton,0.94,0.394,0.148,0.212,0.398,0.409
,Tennessee,Bledsoe,0.408,0.372,0.161,0.258,0.352,0.324
,Tennessee,Blount,0.34,0.235,0.626,0.346,0.498,0.408
,Tennessee,Bradley,0.288,0.366,0.52,0.293,0.459,0.295
,Tennessee,Campbell,0.62,0.252,0.177,0.291,0.345,0.399
,Tennessee,Cannon,0.257,0.387,0.104,0.239,0.377,0.281
,Tennessee,Carroll,2.032,0.503,0.174,0.324,0.42,0.413
,Tennessee,Carter,0.532,0.138,0.174,0.277,0.418,0.451
,Tennessee,Cheatham,2.588,0.476,0.141,0.306,0.485,0.406
,Tennessee,Chester,1.342,0.374,0.137,0.244,0.413,0.419
,Tennessee,Claiborne,0.624,0.271,0.164,0.305,0.319,0.382
,Tennessee,Clay,0.98,0.522,0.13,0.225,0.297,0.432
,Tennessee,Cocke,0.341,0.158,0.209,0.293,0.35,0.4
,Tennessee,Coffee,1.068,0.391,0.312,0.307,0.523,0.409
,Tennessee,Crockett,1.977,0.53,0.139,0.312,0.409,0.359
,Tennessee,Cumberland,0.744,0.321,0.256,0.344,0.412,0.353
,Tennessee,Davidson,0.741,0.488,0.595,0.524,0.447,0.255
,Tennessee,Decatur,0.346,0.38,0.15,0.155,0.331,0.436
,Tennessee,DeKalb,0.715,0.297,0.155,0.282,0.375,0.36
,Tennessee,Dickson,2.568,0.391,0.136,0.358,0.512,0.379
,Tennessee,Dyer,1.684,0.522,0.288,0.365,0.478,0.414
,Tennessee,Fayette,2.536,0.654,0.234,0.424,0.457,0.358
,Tennessee,Fentress,0.376,0.437,0.23,0.24,0.33,0.37
,Tennessee,Franklin,1.055,0.29,0.207,0.355,0.436,0.386
,Tennessee,Gibson,1.148,0.52,0.359,0.356,0.485,0.363
,Tennessee,Giles,1.47,0.334,0.124,0.337,0.416,0.337
,Tennessee,Grainger,0.214,0.327,0.158,0.228,0.314,0.357
,Tennessee,Greene,0.883,0.323,0.223,0.341,0.411,0.363
,Tennessee,Grundy,0.89,0.419,0.151,0.303,0.327,0.354
,Tennessee,Hamblen,0.108,0.188,0.471,0.244,0.406,0.336
,Tennessee,Hamilton,0.562,0.476,0.832,0.517,0.47,0.276
,Tennessee,Hancock,0.208,0.29,0.133,0.259,0.318,0.317
,Tennessee,Hardeman,1.067,0.64,0.165,0.286,0.302,0.373
,Tennessee,Hardin,1.081,0.345,0.15,0.274,0.311,0.46
,Tennessee,Hawkins,0.706,0.35,0.169,0.317,0.362,0.319
,Tennessee,Haywood,1.793,0.575,0.149,0.31,0.329,0.404
,Tennessee,Henderson,1.383,0.472,0.201,0.284,0.434,0.399
,Tennessee,Henry,2.164,0.5,0.165,0.334,0.425,0.402
,Tennessee,Hickman,1.092,0.305,0.15,0.234,0.46,0.41
,Tennessee,Houston,0.552,0.545,0.203,0.17,0.425,0.373
,Tennessee,Humphreys,2.554,0.475,0.157,0.283,0.513,0.441
,Tennessee,Jackson,0.029,0.424,0.168,0.265,0.21,0.363
,Tennessee,Jefferson,0.798,0.381,0.252,0.291,0.442,0.36
,Tennessee,Johnson,1.324,0.337,0.115,0.26,0.356,0.431
,Tennessee,Knox,0.41,0.277,0.657,0.521,0.501,0.245
,Tennessee,Lake,0.774,0.673,0.229,0.194,0.262,0.501
,Tennessee,Lauderdale,1.311,0.397,0.184,0.314,0.3,0.48
,Tennessee,Lawrence,1.025,0.297,0.201,0.322,0.453,0.384
,Tennessee,Lewis,0.063,0.311,0.13,0.218,0.299,0.349
,Tennessee,Lincoln,0.576,0.226,0.162,0.271,0.462,0.319
,Tennessee,Loudon,0.331,0.259,0.471,0.338,0.46,0.324
,Tennessee,Macon,0.262,0.173,0.15,0.243,0.39,0.331
,Tennessee,Madison,1.295,0.539,0.478,0.412,0.501,0.432
,Tennessee,Marion,0.708,0.442,0.254,0.302,0.375,0.351
,Tennessee,Marshall,0.582,0.283,0.201,0.304,0.437,0.302
,Tennessee,Maury,0.967,0.314,0.264,0.366,0.5,0.347
,Tennessee,McMinn,0.656,0.357,0.368,0.356,0.442,0.349
,Tennessee,McNairy,2.041,0.446,0.149,0.346,0.377,0.415
,Tennessee,Meigs,-0.22,0.379,0.213,0.15,0.286,0.372
,Tennessee,Monroe,0.483,0.249,0.384,0.319,0.379,0.469
,Tennessee,Montgomery,0.873,0.456,0.429,0.359,0.418,0.425
,Tennessee,Moore,1.574,0.377,0.112,0.237,0.518,0.333
,Tennessee,Morgan,1.107,0.369,0.154,0.286,0.431,0.347
,Tennessee,Obion,1.663,0.418,0.229,0.336,0.449,0.461
,Tennessee,Overton,0.652,0.305,0.145,0.253,0.425,0.326
,Tennessee,Perry,0.323,0.263,0.112,0.203,0.381,0.345
,Tennessee,Pickett,0.173,0.333,0.157,0.102,0.413,0.406
,Tennessee,Polk,0.93,0.266,0.241,0.316,0.389,0.503
,Tennessee,Putnam,0.894,0.281,0.215,0.375,0.47,0.309
,Tennessee,Rhea,0.351,0.281,0.291,0.295,0.354,0.359
,Tennessee,Roane,0.289,0.338,0.402,0.306,0.408,0.295
,Tennessee,Robertson,1.831,0.53,0.254,0.355,0.492,0.392
,Tennessee,Rutherford,0.371,0.312,0.597,0.376,0.483,0.309
,Tennessee,Scott,0.314,0.187,0.182,0.268,0.361,0.359
,Tennessee,Sequatchie,0.317,0.428,0.198,0.268,0.319,0.327
,Tennessee,Sevier,0.551,0.332,0.509,0.385,0.424,0.401
,Tennessee,Shelby,0.719,0.582,0.99,0.595,0.443,0.312
,Tennessee,Smith,0.901,0.386,0.135,0.258,0.422,0.325
,Tennessee,Stewart,2.304,0.528,0.147,0.25,0.338,0.532
,Tennessee,Sullivan,0.533,0.284,0.443,0.427,0.448,0.33
,Tennessee,Sumner,0.717,0.455,0.543,0.401,0.515,0.315
,Tennessee,Tipton,1.056,0.567,0.365,0.354,0.413,0.377
,Tennessee,Trousdale,0.649,0.422,0.118,0.157,0.452,0.356
,Tennessee,Unicoi,0.533,0.14,0.159,0.258,0.403,0.458
,Tennessee,Union,0.223,0.226,0.162,0.204,0.366,0.364
,Tennessee,Van Buren,-0.018,0.137,0.175,0.251,0.21,0.364
,Tennessee,Warren,0.404,0.153,0.116,0.303,0.392,0.296
,Tennessee,Washington,0.338,0.338,0.54,0.286,0.482,0.338
,Tennessee,Wayne,0.566,0.309,0.195,0.259,0.374,0.379
,Tennessee,Weakley,3.27,0.507,0.124,0.321,0.502,0.39
,Tennessee,White,0.598,0.213,0.144,0.282,0.406,0.348
,Tennessee,Williamson,0.813,0.387,0.501,0.407,0.547,0.362
,Tennessee,Wilson,1.143,0.443,0.414,0.423,0.566,0.337
,Illinois ,Henry,3.253,0.633,0.303,0.457,0.511,0.543
,Illinois ,Iroquois,9.831,0.679,0.105,0.527,0.544,0.425
,Illinois ,Jackson,3.724,0.559,0.215,0.468,0.424,0.549
,Illinois ,Jasper,7.863,0.643,0.101,0.317,0.571,0.516
,Illinois ,Jefferson,4.515,0.69,0.151,0.392,0.482,0.404
,Illinois ,Jersey,6.736,0.644,0.113,0.35,0.545,0.478
,Illinois ,Jo Daviess,4.529,0.693,0.216,0.404,0.617,0.455
,Illinois ,Johnson,4.582,0.673,0.198,0.372,0.372,0.66
,Illinois ,Kane,1.835,0.709,0.633,0.595,0.553,0.393
,Illinois ,Kankakee,3.498,0.638,0.282,0.486,0.5,0.515
,Illinois ,Kendall,3.163,0.734,0.354,0.447,0.594,0.475
,Illinois ,Knox,5.308,0.659,0.175,0.406,0.448,0.589
,Illinois ,Lake,2.011,0.687,0.621,0.613,0.54,0.458
